Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
2433,2441,2453,2472,2482,2512,2515,2390,2301,2405,2424,2433,2468,2472
2526,2536,2548,2565,2576,2603,2608,2482,2373,2497,2515,2526,2563,2565
2616,2625,2637,2654,2665,2696,2701,2576,2444,2589,2608,2616,2652,2654
2709,2721,2734,2750,2762,2795,2797,2665,2537,2681,2701,2709,2749,2750
2808,2816,2828,2842,2856,2889,2891,2762,2628,2780,2797,2808,2843,2842
2903,2917,2929,2948,2959,2993,2995,2856,2722,2874,2891,2903,2945,2948
3007,3016,3028,3047,3057,3088,3090,2959,2817,2978,2995,3007,3043,3047
3101,3108,3121,3138,3149,3181,3184,3057,2915,3073,3090,3101,3136,3138
3194,3201,3212,3231,3241,3274,3278,3149,3018,3167,3184,3194,3227,3231
3288,3296,3308,3327,3338,3370,3374,3241,3112,3259,3278,3288,3324,3327
3384,3393,3404,3424,3433,3467,3471,3338,3204,3355,3374,3384,3419,3424
3482,3493,3505,3523,3533,3567,3570,3433,3299,3451,3471,3482,3520,3523
3581,3589,3601,3620,3630,3662,3666,3533,3394,3552,3570,3581,3616,3620
3676,3686,3698,3716,3727,3762,3766,3630,3493,3646,3666,3676,3713,3716
3775,3784,3797,3815,3824,3857,3862,3727,3540,3747,3766,3775,3811,3815
3871,3878,3890,3908,3919,3950,3955,3824,3634,3841,3862,3871,3905,3908
3965,3976,3987,4005,4015,4048,4053,3919,3735,3934,3955,3965,4002,4005
4063,4071,4084,4102,4112,4144,4148,4015,3807,4032,4053,4063,4099,4102
4158,4166,4178,4196,4206,4238,4242,4112,3882,4129,4148,4158,4193,4196
