R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
13.86,-7.92,16.83,15.84,34.65,28.71,-1.98,86.13,13.86,0.39,1.01,22.77,77.22,35.0,9.0,20.0,12.0,0.0,10.0,14.0,74.0,26.0,0.62,1.0,64.0,36.0
14.0,-8.0,18.0,14.0,36.0,29.0,-3.0,89.0,11.0,0.38,1.0,24.0,76.0,36.36,9.09,20.2,11.11,0.0,10.1,13.13,75.75,24.24,0.62,0.99,65.65,34.34
14.43,-9.28,19.59,13.4,34.02,30.93,-3.09,89.69,10.31,0.37,0.97,24.74,75.26,31.73,8.65,20.19,11.54,0.0,5.77,22.12,66.34,33.66,0.6,1.04,60.57,39.43
13.64,-7.27,12.73,20.91,34.55,25.45,0.0,79.1,20.91,0.44,1.1,19.1,80.91,35.85,8.49,17.92,11.32,0.0,8.49,17.92,70.75,29.24,0.66,1.06,62.26,37.73
11.76,-3.92,12.75,18.63,36.27,24.51,0.0,81.37,18.63,0.4,1.02,20.59,79.41,36.27,8.82,15.69,14.71,0.0,9.8,14.71,70.58,29.42,0.62,1.02,60.78,39.22
15.46,-8.25,18.56,15.46,36.08,26.8,-4.12,88.65,11.34,0.4,0.97,25.77,74.22,36.08,8.25,18.56,13.4,0.0,9.28,14.43,72.17,27.83,0.57,0.97,62.89,37.11
17.53,-10.31,19.59,14.43,35.05,28.87,-5.15,90.73,9.28,0.4,0.97,26.81,73.2,35.79,9.47,20.0,11.58,0.0,7.37,15.79,72.63,27.37,0.57,0.95,65.26,34.74
17.02,-10.64,18.09,15.96,37.23,26.6,-4.26,88.3,11.7,0.38,0.94,24.47,75.53,36.46,8.33,17.71,12.5,0.0,6.25,18.75,68.75,31.25,0.56,0.96,62.5,37.5
15.69,-8.82,14.71,17.65,33.33,29.41,-1.96,84.32,15.69,0.4,1.02,21.58,78.43,34.34,9.09,21.21,11.11,0.0,6.06,18.18,70.7,29.29,0.62,0.99,64.64,35.35
13.54,-8.33,14.58,18.75,35.42,29.17,-3.12,84.38,15.63,0.37,0.96,19.79,80.22,35.42,9.38,19.79,11.46,0.0,10.42,13.54,75.01,25.0,0.59,0.96,64.59,35.42
14.29,-7.14,17.35,13.27,34.69,28.57,-1.02,87.76,12.25,0.37,0.98,24.5,75.51,34.69,9.18,19.39,12.24,0.0,9.18,15.31,72.44,27.55,0.61,0.98,63.26,36.73
13.4,-9.28,18.56,15.46,36.08,26.8,-1.03,85.56,14.43,0.37,0.97,22.68,77.31,35.71,8.16,18.37,13.27,0.0,9.18,15.31,71.42,28.58,0.6,0.98,62.24,37.76
14.14,-8.08,17.17,15.15,34.34,29.29,-2.02,86.86,13.13,0.38,0.99,23.23,76.76,34.69,8.16,21.43,12.24,0.0,8.16,15.31,72.44,27.55,0.61,0.98,64.28,35.71
14.43,-8.25,16.49,15.46,34.02,29.9,-2.06,86.59,13.4,0.37,0.97,22.67,77.32,33.67,9.18,20.41,11.22,0.0,7.14,18.37,70.4,29.59,0.6,0.98,63.26,36.73
13.0,-7.0,14.0,18.0,37.0,27.0,-2.0,84.0,16.0,0.38,1.0,20.0,80.0,34.91,9.43,16.04,11.32,0.0,6.6,21.7,66.98,33.02,0.62,1.06,60.38,39.62
