R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
11.45,9.64,10.84,10.84,14.46,24.7,18.07,71.09,28.91,0.71,1.66,31.93,68.07,20.92,10.46,14.38,7.84,12.42,22.22,11.76,80.4,19.6,0.82,1.53,45.76,54.24
20.67,10.0,12.0,11.33,13.33,22.67,10.0,78.67,21.33,0.81,1.5,42.67,57.33,13.64,9.09,14.2,17.05,17.61,18.75,9.66,73.29,26.71,0.95,1.76,36.93,63.07
12.32,9.42,15.22,8.7,13.77,28.26,12.32,78.99,21.02,0.63,1.38,36.96,63.05,15.15,10.61,15.15,11.36,12.88,25.76,9.09,79.55,20.45,0.69,1.32,40.91,59.09
11.45,9.16,16.79,8.4,12.21,29.77,12.21,79.38,20.61,0.6,1.31,37.4,62.59,14.07,11.11,17.78,12.59,11.11,25.19,8.15,79.26,20.74,0.75,1.35,42.96,57.04
10.16,9.38,17.97,9.38,11.72,29.69,11.72,78.92,21.1,0.6,1.28,37.51,62.51,12.21,11.45,18.32,12.21,9.92,26.72,9.16,78.62,21.37,0.71,1.31,41.98,58.01
8.26,9.92,18.18,9.92,10.74,31.4,11.57,78.5,21.49,0.56,1.21,36.36,63.63,12.1,12.9,17.74,12.1,8.06,27.42,9.68,78.22,21.78,0.68,1.24,42.74,57.26
9.6,9.6,18.4,9.6,10.4,30.4,12.0,78.4,21.6,0.59,1.25,37.6,62.4,10.48,12.1,18.55,11.29,9.68,28.23,9.68,79.04,20.97,0.65,1.24,41.13,58.88
11.38,9.76,16.26,10.57,9.76,30.89,11.38,78.05,21.95,0.59,1.23,37.4,62.6,10.4,12.0,18.4,12.0,11.2,25.6,10.4,77.6,22.4,0.66,1.25,40.8,59.2
8.73,10.32,16.67,10.32,9.52,31.75,12.7,76.99,23.02,0.58,1.26,35.72,64.29,9.84,12.3,18.85,11.48,9.02,27.87,10.66,77.88,22.14,0.64,1.22,40.99,59.03
10.48,10.48,15.32,11.29,12.1,29.03,11.29,77.41,22.58,0.59,1.24,36.28,63.71,9.45,12.6,18.9,12.6,10.24,25.2,11.02,76.39,23.62,0.68,1.27,40.95,59.06
8.72,10.74,13.42,12.75,13.42,26.85,14.09,73.15,26.84,0.68,1.49,32.88,67.11,11.28,11.28,15.79,10.53,9.77,27.07,14.29,75.19,24.82,0.65,1.33,38.35,61.66
15.75,11.81,12.6,10.24,8.66,29.13,11.81,77.95,22.05,0.64,1.27,40.16,59.84,13.79,10.34,17.24,14.48,13.79,21.38,8.97,76.54,23.45,0.81,1.45,41.37,58.62
9.84,9.84,19.67,9.84,9.84,28.69,12.3,77.88,22.14,0.6,1.22,39.35,60.67,8.94,11.38,18.7,12.2,9.76,29.27,9.76,78.05,21.96,0.63,1.23,39.02,60.99
7.14,10.71,20.54,10.71,9.82,28.57,12.5,76.78,23.21,0.55,1.12,38.39,61.6,10.26,12.82,17.09,12.82,6.84,29.91,10.26,76.92,23.08,0.62,1.17,40.17,59.83
