Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
28091,28101,28114,28134,28146,28293,28183,28037,28044,28057,28069,28091,28131,28134
28201,28214,28227,28246,28259,28396,28290,28146,28155,28169,28183,28201,28244,28246
28308,28318,28331,28348,28360,28500,28394,28259,28263,28277,28290,28308,28346,28348
28411,28420,28433,28455,28464,28600,28503,28360,28366,28380,28394,28411,28449,28455
28517,28524,28537,28552,28564,28703,28597,28464,28470,28483,28503,28517,28551,28552
28616,28625,28638,28655,28669,28808,28701,28564,28568,28583,28597,28616,28654,28655
28718,28727,28740,28758,28770,28913,28804,28669,28673,28687,28701,28718,28756,28758
28824,28832,28845,28864,28876,29018,28910,28770,28777,28792,28804,28824,28861,28864
28928,28939,28952,28969,28981,29120,29015,28876,28882,28897,28910,28928,28967,28969
29033,29042,29054,29073,29084,29220,29117,28981,28987,29003,29015,29033,29070,29073
29134,29141,29154,29170,29182,29323,29217,29084,29090,29105,29117,29134,29169,29170
29235,29243,29257,29274,29286,29424,29321,29182,29189,29205,29217,29235,29272,29274
29339,29347,29359,29382,29391,29525,29422,29286,29293,29307,29321,29339,29376,29382
29438,29445,29457,29474,29486,29629,29521,29391,29394,29409,29422,29438,29472,29474
29540,29547,29560,29579,29591,29732,29626,29486,29494,29510,29521,29540,29576,29579
29645,29653,29666,29684,29696,29834,29730,29591,29599,29613,29626,29645,29682,29684
29748,29757,29770,29788,29799,29941,29832,29696,29701,29715,29730,29748,29785,29788
29850,29860,29873,29892,29904,30053,29941,29799,29804,29818,29832,29850,29889,29892
29958,29968,29982,30001,30015,30160,30050,29904,29910,29923,29941,29958,29999,30001
30069,30078,30091,30109,30122,30265,30159,30015,30021,30036,30050,30069,30107,30109
30175,30183,30197,30213,30226,30374,30265,30122,30129,30144,30159,30175,30212,30213
30281,30290,30303,30320,30334,30492,30371,30226,30234,30248,30265,30281,30319,30320
30391,30402,30415,30432,30447,30610,30486,30334,30342,30356,30371,30391,30432,30432
30508,30521,30536,30554,30570,30724,30606,30447,30459,30475,30486,30508,30554,30554
30626,30637,30651,30667,30683,30845,30721,30570,30580,30594,30606,30626,30668,30667
30738,30752,30768,30783,30800,30960,30836,30683,30696,30710,30721,30738,30785,30783
30865,30875,30894,30907,30925,31061,30959,30800,30811,30825,30836,30865,30910,30907
30974,30981,30994,31008,31021,31171,31059,30925,30934,30946,30959,30974,31008,31008
31077,31084,31098,31116,31129,31274,31170,31021,31030,31045,31059,31077,31114,31116
31187,31195,31208,31225,31238,31377,31274,31129,31140,31154,31170,31187,31224,31225
31287,31292,31306,31322,31336,31485,31375,31238,31246,31260,31274,31287,31322,31322
