R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
7.55,12.26,16.98,11.32,7.55,31.13,13.21,75.47,24.53,0.51,1.06,36.79,63.21,6.73,12.5,18.27,13.46,7.69,29.81,11.54,75.0,25.0,0.53,1.04,37.5,62.5
10.38,12.26,16.04,11.32,5.66,32.08,12.26,76.42,23.58,0.53,1.06,38.68,61.32,7.41,12.96,17.59,12.96,10.19,27.78,11.11,75.93,24.07,0.55,1.08,37.96,62.04
7.48,12.15,17.76,11.21,6.54,32.71,12.15,76.64,23.36,0.52,1.07,37.39,62.61,5.71,12.38,20.0,12.38,7.62,30.48,11.43,76.19,23.81,0.53,1.05,38.09,61.91
6.86,12.75,15.69,11.76,7.84,33.33,11.76,76.47,23.52,0.48,1.02,35.3,64.69,6.8,12.62,21.36,12.62,6.8,28.16,11.65,75.74,24.27,0.55,1.03,40.78,59.23
6.54,12.15,15.89,11.21,9.35,31.78,13.08,75.71,24.29,0.49,1.07,34.58,65.42,7.77,13.59,19.42,11.65,6.8,29.13,11.65,76.71,23.3,0.54,1.03,40.78,59.23
10.81,11.71,15.32,12.61,6.31,28.83,14.41,72.98,27.02,0.56,1.11,37.84,62.16,8.77,12.28,17.54,12.28,10.53,26.32,12.28,75.44,24.56,0.58,1.14,38.59,61.41
9.52,13.33,15.24,13.33,7.62,26.67,14.29,72.38,27.62,0.54,1.05,38.09,61.91,6.42,11.93,17.43,14.68,9.17,27.52,12.84,72.47,27.52,0.55,1.09,35.78,64.21
6.19,15.04,17.7,8.85,11.5,25.66,15.04,76.09,23.89,0.54,1.13,38.93,61.05,7.62,11.43,15.24,14.29,6.67,35.24,9.52,76.2,23.81,0.51,1.05,34.29,65.72
12.39,13.27,13.27,12.39,5.31,31.86,11.5,76.1,23.89,0.58,1.13,38.93,61.06,11.11,9.4,15.38,14.53,11.97,25.64,11.97,73.5,26.5,0.59,1.17,35.89,64.11
9.9,12.87,15.84,13.86,4.95,30.69,11.88,74.25,25.74,0.53,1.01,38.61,61.38,5.56,12.04,21.3,12.04,9.26,26.85,12.96,75.01,25.0,0.55,1.08,38.9,61.11
7.69,13.46,17.31,13.46,4.81,30.77,12.5,74.04,25.96,0.54,1.04,38.46,61.54,4.9,11.76,18.63,11.76,7.84,31.37,13.73,74.5,25.49,0.48,1.02,35.29,64.7
